date,OT,% WEIGHTED ILI,AGE 0-4,AGE 5-24,AGE 25-49,AGE 50-64,AGE 65
1998-05-18,0.0,0.0,0,0,0.0,0.0,0
1998-05-25,0.0,0.0,0,0,0.0,0.0,0
1998-06-01,0.0,0.0,0,0,0.0,0.0,0
1998-06-08,0.0,0.0,0,0,0.0,0.0,0
1998-06-15,0.0,0.0,0,0,0.0,0.0,0
1998-06-22,0.0,0.0,0,0,0.0,0.0,0
1998-06-29,0.0,0.0,0,0,0.0,0.0,0
1998-07-06,0.0,0.0,0,0,0.0,0.0,0
1998-07-13,0.0,0.0,0,0,0.0,0.0,0
1998-07-20,0.0,0.0,0,0,0.0,0.0,0
1998-07-27,0.0,0.0,0,0,0.0,0.0,0
1998-08-03,0.0,0.0,0,0,0.0,0.0,0
1998-08-10,0.0,0.0,0,0,0.0,0.0,0
1998-08-17,0.0,0.0,0,0,0.0,0.0,0
1998-08-24,0.0,0.0,0,0,0.0,0.0,0
1998-08-31,0.0,0.0,0,0,0.0,0.0,0
1998-09-07,0.0,0.0,0,0,0.0,0.0,0
1998-09-14,0.0,0.0,0,0,0.0,0.0,0
1998-09-21,0.0,0.0,0,0,0.0,0.0,0
1999-05-17,0.0,0.0,0,0,0.0,0.0,0
1999-05-24,0.0,0.0,0,0,0.0,0.0,0
1999-05-31,0.0,0.0,0,0,0.0,0.0,0
1999-06-07,0.0,0.0,0,0,0.0,0.0,0
1999-06-14,0.0,0.0,0,0,0.0,0.0,0
1999-06-21,0.0,0.0,0,0,0.0,0.0,0
1999-06-28,0.0,0.0,0,0,0.0,0.0,0
1999-07-05,0.0,0.0,0,0,0.0,0.0,0
1999-07-12,0.0,0.0,0,0,0.0,0.0,0
1999-07-19,0.0,0.0,0,0,0.0,0.0,0
1999-07-26,0.0,0.0,0,0,0.0,0.0,0
1999-08-02,0.0,0.0,0,0,0.0,0.0,0
1999-08-09,0.0,0.0,0,0,0.0,0.0,0
1999-08-16,0.0,0.0,0,0,0.0,0.0,0
1999-08-23,0.0,0.0,0,0,0.0,0.0,0
1999-08-30,0.0,0.0,0,0,0.0,0.0,0
1999-09-06,0.0,0.0,0,0,0.0,0.0,0
1999-09-13,0.0,0.0,0,0,0.0,0.0,0
1999-09-20,0.0,0.0,0,0,0.0,0.0,0
2000-05-15,0.0,0.0,0,0,0.0,0.0,0
2000-05-22,0.0,0.0,0,0,0.0,0.0,0
2000-05-29,0.0,0.0,0,0,0.0,0.0,0
2000-06-05,0.0,0.0,0,0,0.0,0.0,0
2000-06-12,0.0,0.0,0,0,0.0,0.0,0
2000-06-19,0.0,0.0,0,0,0.0,0.0,0
2000-06-26,0.0,0.0,0,0,0.0,0.0,0
2000-07-03,0.0,0.0,0,0,0.0,0.0,0
2000-07-10,0.0,0.0,0,0,0.0,0.0,0
2000-07-17,0.0,0.0,0,0,0.0,0.0,0
2000-07-24,0.0,0.0,0,0,0.0,0.0,0
2000-07-31,0.0,0.0,0,0,0.0,0.0,0
2000-08-07,0.0,0.0,0,0,0.0,0.0,0
